Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
120;7.15632;2.03816;0.35925;7.42;-24.84999;-18.47999;994.49902;0;0;0;0;0
121;8.00895;2.55309;-0.31854;7.98;-10.01;-15.88999;994.51538;0;0;0;0;0
122;9.10347;3.29555;-0.03593;6.93;-0.42;-7.21;994.52954;0;0;0;1;0
123;9.4244;3.57576;-0.09341;3.08;-6.23;-8.19;994.53711;0;0;0;0;0
124;9.46991;4.08111;-0.85981;1.75;-4.27;-5.11;994.5459;0;0;0;0;0
125;8.47837;3.50391;0.30417;-7.28;3.92;-5.67;994.54468;0;0;0;0;0
126;9.38848;4.06195;-0.49337;-7.98;13.58;-12.6;994.53223;0;0;0;0;0
127;9.23999;4.15296;0.36644;-2.38;15.12;-4.41;994.5249;0;0;0;0;0
128;9.12023;4.28469;0.5269;-1.68;6.51;-0.49;994.51782;0;0;0;0;0
129;8.5598;3.80569;0.22513;-6.51;16.37999;-6.3;994.52148;0;0;0;0;0
130;7.791;3.49673;0.31135;-23.86999;36.60999;-1.33;994.50586;0;0;0;0;0
131;7.00543;3.24765;0.64666;-60.26998;74.68997;2.24;994.49414;0;0;0;0;0
132;6.67013;2.34472;2.51717;-86.72997;112.20996;3.57;994.54004;0;0;0;0;0
133;5.23791;0.83347;5.48699;-129.49995;148.74995;9.8;994.54175;0;0;0;0;0
134;1.95913;3.16622;6.99106;36.88998;178.84995;-0.14;994.55249;0;0;0;0;0
135;-0.53169;-0.27303;8.29874;-142.72995;176.11993;132.36995;994.52222;0;0;0;0;0
136;-5.8199;-3.82006;9.64235;-100.37997;196.34991;176.95993;994.4939;0;0;0;0;0
137;-10.7225;-5.08942;9.51541;-44.23998;221.61992;172.61993;994.48584;0;0;0;0;0
138;-11.92241;-4.08351;8.64602;-40.94999;182.69994;132.64995;994.48462;0;0;0;0;0
139;-10.15967;-3.31471;7.77423;-94.42997;54.80998;83.01997;994.46387;0;0;0;0;0
140;-8.11672;-2.46208;7.45091;-62.36998;-15.81999;37.09999;994.45776;0;0;0;0;0
141;-7.80776;-2.59141;6.77312;-16.86999;-58.86998;-13.64999;994.46948;0;0;0;0;0
142;-8.52627;-0.92208;5.41274;-22.32999;-78.95997;-44.58998;994.4873;0;0;0;0;0
143;-7.37906;-2.10522;9.4747;-65.51997;-89.73997;-46.26998;994.45996;0;0;0;0;0
144;-8.64363;-5.55884;10.55006;-45.84998;-114.37996;-66.35997;994.48169;0;0;0;0;0
145;-6.61744;-5.7241;10.27703;-92.53996;-146.92995;-107.44996;994.50098;0;0;0;0;0
146;-4.33738;-5.82469;8.36101;-131.87996;-139.43996;-122.00995;994.49512;0;0;0;0;0
147;-0.34728;-10.18602;6.60067;-173.73993;-90.92997;-106.60996;994.48218;0;0;0;0;0
148;0.73048;-10.80633;4.67747;-43.81998;-29.04999;-149.86995;994.47339;0;0;0;0;0
149;3.1255;-3.52068;2.94587;68.38998;-28.20999;-173.73993;994.45264;0;0;0;0;0
150;4.78285;1.00112;-0.39278;449.11981;31.28999;-87.42997;994.44336;0;0;0;0;0
151;3.10634;4.41163;-1.00351;-49.34998;19.31999;-27.29999;994.43506;0;0;0;0;0
152;6.23184;-2.24653;7.5012;-178.14993;-9.94;-61.03998;994.43774;0;0;0;0;0
153;10.06627;-0.41913;9.53697;183.74992;114.09995;-80.00997;994.45044;0;0;0;0;0
154;2.58423;5.04152;7.38385;365.18985;110.17996;-177.23994;994.46875;0;0;0;0;0
155;-1.66214;5.66662;4.67268;129.84996;-0.7;-213.35992;994.47144;0;0;0;0;0
156;-3.23088;10.33212;2.5962;-45.91998;-63.90998;-161.83994;994.47485;0;0;0;0;0
157;-5.79116;7.05333;5.06068;-614.38977;-27.92999;-82.80997;994.47803;0;0;0;0;0
158;-4.33978;-11.08176;-0.4335;-734.78973;82.31997;-66.77998;994.46851;0;0;0;0;0
159;-8.88792;-12.42297;7.51797;-96.17996;40.38998;161.20993;994.53345;0;0;0;0;0
160;-6.02587;-1.85614;-14.07314;1487.14941;149.16994;303.65988;994.54077;0;0;0;0;0
161;-18.33388;-13.8001;4.96488;-784.55975;149.02995;64.60998;994.54883;0;0;0;0;0
162;-6.03784;-5.00559;1.3963;-619.35974;-102.19997;11.41;994.56152;0;0;0;0;0
163;-5.98515;-8.1263;2.15552;917.55963;42.69998;-52.28998;994.56934;0;0;0;0;0
164;-6.49769;7.06291;1.53521;-356.85986;-116.96996;20.50999;994.56934;0;0;0;0;0
165;-4.02842;-5.71931;7.90356;-165.12994;-117.94997;-76.43997;994.56982;0;0;0;0;0
166;-3.64761;6.55517;2.42855;575.67975;-9.66;8.26;994.56665;0;0;0;0;0
167;-4.45474;6.64139;8.31311;-334.73987;-138.38995;58.72998;994.56885;0;0;0;0;0
