Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
190;6.50492;2.86379;2.19306;-10.65825;46.69949;5.2185;992.16418;-22.6449;71.36905;0.70516;0;0
191;9.17588;3.49261;2.97878;-25.42875;56.58717;6.4392;992.18951;-19.90179;72.01495;0.70967;0;0
192;9.63102;4.35857;5.96534;-17.12798;52.80299;-3.75366;992.20502;-21.04341;58.22642;0.50855;0;0
193;9.88554;4.2364;6.35341;-16.27348;21.55302;5.76782;992.24115;-19.82471;57.27127;0.49138;0;0
194;9.45915;3.82438;5.78209;-21.27836;2.388;6.80541;992.24835;-19.03249;58.56383;0.50696;0;0
195;8.92795;4.0262;6.89;26.14591;5.867;-0.82397;992.22284;-19.64729;52.34144;0.42462;0;1
196;9.81188;3.95014;6.50492;-7.48443;14.47295;-1.61743;992.26874;-18.54895;56.45706;0.47614;0;0
197;10.82457;4.42744;7.29603;-9.07134;15.32744;-4.66919;992.26874;-18.73526;56.01905;0.4707;0;0
198;9.12977;4.41786;6.87922;6.49261;-7.80486;-3.02124;992.28174;-21.12993;53.00223;0.43868;0;0
199;9.93225;4.84186;7.89909;3.62396;-9.63592;-3.38745;992.263;-20.88377;51.50488;0.41844;0;0
200;10.28678;4.77119;7.311;15.46477;-12.26043;-3.87573;992.2713;-20.70966;54.59791;0.45812;0;0
201;9.56934;4.77359;7.18224;21.81242;-25.2609;-0.57983;992.26788;-21.75046;53.11003;0.44246;0;0
202;8.99442;4.42804;5.96414;17.7841;-42.47281;3.44848;992.24518;-22.30844;56.4519;0.48873;0;0
203;7.91346;3.6034;4.23341;23.5214;-43.38833;-0.21362;992.26239;-21.87584;61.85487;0.56226;0;0
204;6.36;2.76977;2.58173;21.75138;-39.36001;-5.88989;992.22076;-21.97507;67.90618;0.6512;0;0
205;5.06105;2.51525;1.43429;15.03752;-34.78238;-7.59887;992.14404;-25.55489;74.17736;0.75401;0;0
206;5.27365;2.70689;0.71505;16.74651;-30.20475;-9.12475;992.18695;-26.95935;82.27839;0.88024;0;0
207;5.8288;3.2321;0.20781;16.3803;-24.28434;-3.14331;992.19482;-28.99316;87.95816;0.96884;0;0
208;7.38406;3.8699;-0.35753;29.44181;-26.78678;0.21362;992.16339;-27.63091;87.22799;0.95715;0;0
209;8.59857;4.83587;-0.15211;-4.37164;-6.46209;0.5188;992.16827;-29.34975;88.98651;0.98458;1;0
210;8.91118;4.48913;-0.11319;1.91498;-3.1662;1.5564;992.14783;-26.73544;89.27229;0.98866;0;0
211;8.23865;4.36875;-0.11199;-9.8648;-4.81414;0.45776;992.15271;-27.93372;89.22122;0.98799;0;0
212;8.36501;4.42565;-0.64319;-0.8316;3.12042;-0.27466;992.13214;-27.81207;85.60318;0.93219;0;0
213;8.72254;4.65142;-0.44017;-11.32964;7.39288;-1.49536;992.15192;-28.03918;87.11111;0.95552;0;0
214;8.43448;4.88318;-0.72463;-4.98199;3.85284;3.02124;992.17035;-29.97763;85.0896;0.92585;0;0
215;5.51499;3.389;-0.81267;-10.9024;18.13506;12.48168;992.20099;-31.2972;81.61745;0.87543;0;0
216;3.39799;1.40794;0.98215;-9.62066;45.35671;17.9138;992.20056;-21.70515;73.87872;0.74202;0;0
217;5.29161;1.9056;2.09724;-17.49419;47.4319;3.87573;992.22119;-18.50964;68.37994;0.65061;0;0
218;8.12666;3.6022;2.09604;-6.75201;35.40799;8.45336;992.16992;-23.22952;75.53737;0.7705;0;0
219;9.20463;4.08369;4.00225;-30.12845;35.34695;2.83813;992.27002;-22.13945;66.50021;0.63065;0;0
220;10.0658;4.05674;5.24849;-17.92143;28.32792;0.88501;992.24646;-19.66489;62.46164;0.56462;0;0
221;10.1736;4.01662;5.8809;-13.64898;15.81572;-0.57983;992.26685;-18.87091;59.96972;0.52644;0;0
222;9.87117;3.98488;6.31508;-14.25933;15.93779;-5.64575;992.23962;-18.78081;57.39092;0.48979;0;0
223;10.14365;4.88737;6.42587;-25.55082;19.53886;-7.41577;992.26453;-22.14726;57.64628;0.50434;0;0
224;9.88734;4.32025;7.04151;10.15472;11.6043;1.49536;992.28748;-19.59134;54.5425;0.45348;0;1
