Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
89;8.86746;3.39499;2.44099;10.48278;4.24957;-1.17493;992.16125;-20.26057;74.60909;0.75102;0;0
90;8.44646;3.4459;2.859;8.65173;-3.74603;-3.25012;992.21478;-21.12814;71.29978;0.70094;0;0
91;8.73811;4.03578;2.70749;6.08825;-9.11712;0.9613;992.25812;-23.80553;72.78448;0.72921;0;0
92;8.16679;3.88487;1.97627;10.66588;6.20269;1.87683;992.21967;-24.81329;76.39658;0.78651;0;0
93;7.01037;3.58663;1.63851;-3.12805;18.47075;9.20104;992.22736;-26.48209;76.84463;0.79629;0;0
94;4.58854;2.00022;2.03556;-12.03917;25.12358;18.72252;992.24536;-21.72574;66.07706;0.6233;0;0
95;4.26814;1.08096;2.57454;-0.01526;16.76177;2.36511;992.24518;-12.23592;58.90166;0.49522;0;0
96;5.90665;2.09664;3.29019;18.11217;20.85112;16.9525;992.23456;-17.22861;60.88082;0.53521;0;0
97;8.5812;2.78534;3.604;-6.60705;37.3306;31.60093;992.24243;-16.66057;67.21821;0.62903;0;0
98;10.60538;2.43021;6.06296;-19.7296;46.42483;9.32311;992.27283;-11.25125;60.24397;0.51323;0;0
99;9.69031;2.56795;6.69357;-11.30675;18.40971;2.85339;992.30829;-12.30035;55.36528;0.4447;0;0
100;9.68552;2.55897;6.88461;-15.88439;8.6441;5.2948;992.30084;-12.15283;54.59424;0.43362;0;0
101;10.00472;2.49549;7.58408;-15.02989;10.65825;-1.96838;992.30066;-11.24239;52.83602;0.40749;0;0
102;8.78602;2.30565;7.37987;0.41199;-0.3891;2.24304;992.34375;-11.36185;49.97121;0.36943;0;0
103;9.1106;1.5918;7.5787;-14.29747;-9.42229;2.79236;992.32867;-7.65021;50.24447;0.36618;0;0
104;8.24224;1.27739;6.84388;6.39343;5.28717;-9.29259;992.32849;-6.79955;50.29572;0.36567;0;0
105;7.61103;1.72714;6.51391;6.02722;-2.34222;-11.00158;992.3667;-9.78192;49.44143;0.35923;0;0
106;8.78063;2.39009;6.6774;4.07409;-1.36566;-4.89807;992.34357;-12.22511;52.74813;0.40841;0;0
107;10.064;2.60448;7.84579;-5.87463;11.63482;-5.08117;992.36139;-11.53557;52.0604;0.39759;0;0
108;10.0682;3.34708;8.55006;-7.88879;11.14654;-1.72424;992.32568;-14.21935;49.66159;0.37253;0;0
109;9.24236;2.73863;8.66684;0.16785;-11.74163;-1.72424;992.31531;-12.19666;46.84057;0.33141;0;0
110;8.60755;1.79841;7.87214;11.39831;-17.72307;-12.22228;992.30725;-8.76471;47.55515;0.333;0;0
111;7.64517;2.04035;5.52876;-0.99182;-23.82658;-15.02989;992.28406;-12.20271;54.12664;0.42724;0;0
112;6.22465;1.68821;3.59202;-7.76672;-32.5546;-15.27403;992.24329;-13.21953;60.01232;0.51343;0;0
113;4.36217;1.58281;2.73085;1.32751;-24.98625;-15.27403;992.25562;-17.09549;57.95222;0.49282;0;0
